,Record ID,SchoolName,City,State,Borough,Zip Code,LastInspection,Permittee,InspectionDate,PTET,Site Type,Level,Code,ViolationDescription,LATITUDE,LONGITUDE,COUNCILDISTRICT,BIN,Public Status,Address,2021-2022 Segment Enrollment
16,50046980,YESHIVAT OHR HAIIM,Richmond Hill,NY,Queens,11418,1/11/2023,YESHIVAT OHR HAIIM INC,6/7/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.70566244,-73.82052357,29.0,4206444.0,Private,8606 135TH ST,39686
17,50132228,SAMARA COMMUNITY SCHOOL,Bronx,NY,Bronx,10460,2/27/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/27/2023,2530,FSE (Public School Cafeteria),,,,40.83321725,-73.88496842,17.0,2000000.0,Public,1570 BOONE AVENUE,168582
18,40403839,TRINITY SCHOOL,New York,NY,Manhattan,10024,12/1/2022,FLIK INTERNATIONAL CORPORATION,12/1/2022,2529,FSE (Private School Cafeteria - For Profit),C,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",40.7905165,-73.97184567,6.0,1032497.0,Private,139 WEST   91 STREET,49856
19,50018873,"PS/IS 78Q, THE RIVERVIEW SCHOOL @ Q312",Long Island City,NY,Queens,11101,1/31/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/27/2022,2530,FSE (Public School Cafeteria),C,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.74706169,-73.95514353,26.0,4542629.0,Public,46-08 5 STREET,263898
20,40543386,P.S. 150 QUEENS,Sunnyside,NY,Queens,11104,12/2/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/8/2020,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.74553003,-73.92377571,26.0,4002387.0,Public,4001 43 AVENUE,263898
21,40543533,P.S. 152 EVERGREEN,Bronx,NY,Bronx,10472,3/23/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,3/23/2023,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.82404752,-73.88003784,17.0,2023336.0,Public,1007 EVERGREEN AVENUE,168582
22,50087158,PRE-K CENTER AT 108-18 ROOSEVELT AVENUE,Corona,NY,Queens,11368,11/17/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,11/17/2022,2530,FSE (Public School Cafeteria),,,,40.75083661,-73.85830189,21.0,4000000.0,Public,10818 ROOSEVELT AVE,263898
23,50000503,"PS/MS 11X498 - VAN NEST ACADEMY, P.S. X596 AT X498, ICAHN CHARTER SCHOOL 2",Bronx,NY,Bronx,10462,2/2/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/19/2022,2530,FSE (Public School Cafeteria),C,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",40.84472348,-73.85820595,13.0,2116414.0,Public,1640 BRONXDALE AVENUE,168582
24,40737453,BAIS ESTHER SCHOOL,Brooklyn,NY,Brooklyn,11219,11/22/2022,ESTHER SCHOOL BAIS,2/28/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.63377416,-73.99154407,44.0,3137766.0,Private,1353 50 STREET,116725
25,40740820,BETH JACOB ES,New York,NY,Manhattan,10002,2/22/2023,BETH JACOB ES,5/24/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.71628134,-73.98415294,1.0,1004079.0,Private,142 BROOME STREET,49856
26,40734760,MESIVTA NACHLAS YAKOV OF ADAS YEREIM,Brooklyn,NY,Brooklyn,11211,2/16/2023,MESIVTA NACHLAS YAKOV OF ADAS YEREIM,5/25/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.70674299,-73.96035378,33.0,3059912.0,Private,185 WILSON STREET,116725
27,50105530,YESHIVAT MEKOR HAIM,Brooklyn,NY,Brooklyn,11230,5/16/2022,CONGREGATION SHAARI TEFILOH OF KINGS HIGHWAY,2/4/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.61619541,-73.96896951,44.0,3172885.0,Private,1326 OCEAN PARKWAY,116725
28,40543524,P.S. 001 COURTLANDT SCHOOL,Bronx,NY,Bronx,10451,1/26/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/26/2023,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.81880895,-73.91900911,17.0,2001881.0,Public,335 EAST  152 STREET,168582
29,40894158,ST. FRANCIS DE SALES SCHOOL FOR THE DEAF,Brooklyn,NY,Brooklyn,11225,12/2/2022,ST. FRANCIS DE SALES SCHOOL FOR THE DEAF,3/10/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.67114049,-73.96023083,35.0,3029670.0,Private,260 EASTERN PARKWAY,116725
30,50034846,TREVOR DAY SCHOOL,New York,NY,Manhattan,10128,12/13/2022,TREVOR DAY SCHOOL,12/13/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),,,,40.78331923,-73.94702678,5.0,1089945.0,Private,312 EAST   95 STREET,49856
31,40540346,P.S. 003 THE MARGARET GIOIOSA SCHOOL,,NY,Staten Island,10309,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,5/11/2021,2530,FSE (Public School Cafeteria),,,,40.52069164,-74.21126239,51.0,5083311.0,Public,80 SOUTH GOFF AVENUE,61797
32,50105986,NEW WORLD PREPARATORY SCHOOL,,NY,Staten Island,10303,1/17/2023,New World Preparatory Charter School,1/17/2023,2533,FSE (Private School Cafeteria - Not-For-Profit),AV,18-11,Food Protection Certificate not available for inspection,40.63008687,-74.14726987,49.0,5107102.0,Private,351 MORNINGSTAR ROAD,11337
33,40545915,P.S. 376,Brooklyn,NY,Brooklyn,11237,8/4/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,7/22/2022,2530,FSE (Public School Cafeteria),C,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",40.69801327,-73.92071075,37.0,3075072.0,Public,194 HARMAN STREET,260855
34,50102107,P.S. 398,Astoria,NY,Queens,11106,2/9/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/9/2023,2530,FSE (Public School Cafeteria),,,,40.75518581,-73.92755816,26.0,,Public,3601 34TH ST,263898
35,40542517,P.S. 169 SUNSET PARK,Brooklyn,NY,Brooklyn,11232,3/1/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,3/1/2023,2530,FSE (Public School Cafeteria),C,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",40.64628242,-74.00190267,38.0,3011002.0,Public,4305 7 AVENUE,260855
36,50071632,UNITED TALMUDICAL ACADEMY OF BORO PARK,Brooklyn,NY,Brooklyn,11218,11/22/2022,UNITED TALMUDICAL ACADEMY OF BORO PARK,2/18/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.64244424,-73.9848804,39.0,3413703.0,Private,1275 36 STREET,116725
37,40542889,"NEW VISIONS AIM CHARTER HIGH SCHOOL II, ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX, BRONX REGIONAL",Bronx,NY,Bronx,10459,2/1/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,11/19/2020,2530,FSE (Public School Cafeteria),,,,40.82352492,-73.8988707,17.0,2005366.0,Public,1010 REVEREND JAMES A POLITE AVENUE,168582
38,40542830,P.S. 179 KENSINGTON,Brooklyn,NY,Brooklyn,11218,3/16/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/26/2021,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.64045583,-73.97764197,39.0,3126001.0,Public,202 AVENUE C,260855
39,41470005,RAZI SCHOOL,Woodside,NY,Queens,11377,12/6/2022,SCHOOL RAZI,4/27/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10C,Lighting Inadequate,40.74212182,-73.90971994,26.0,4030990.0,Private,5511 QUEENS BOULEVARD,39686
40,40735285,YESHIVA OHEL MOSHE,Brooklyn,NY,Brooklyn,11214,1/18/2023,YESHIVA OHEL MOSHE,5/10/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),A,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",40.60574703,-73.98986581,44.0,3162913.0,Private,7914 BAY PARKWAY,116725
41,40734755,TALMUD TORAH IMREI CHAIM,Brooklyn,NY,Brooklyn,11204,2/2/2023,TALMUD TORAH & YESHIVA IMREI CHAIM VIZNITZ,8/5/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.62557721,-73.98253906,44.0,3130270.0,Private,1824 53 STREET,116725
42,41519621,CHURCHILL SCHOOL & CENTER,New York,NY,Manhattan,10016,10/27/2022,"BUTTER BEANS, INC",2/19/2021,2529,FSE (Private School Cafeteria - For Profit),,,,40.74157883,-73.97801208,2.0,1081677.0,Private,301 EAST   29 STREET,49856
43,40542985,"I.S. 068 ISAAC BILDERSEE, EXPLORE EXCEL CHARTER SCHOOL - UPPER",Brooklyn,NY,Brooklyn,11236,1/20/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,4/1/2022,2530,FSE (Public School Cafeteria),C,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.6355458,-73.91079064,46.0,3224947.0,Public,956 EAST   82 STREET,260855
44,50082117,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,Forest Hills,NY,Queens,11375,12/16/2022,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,12/16/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.71869768,-73.84120249,29.0,4443187.0,Private,7255 AUSTIN ST,39686
45,40541251,"THE CHILDRENS WORKSHOP SCHOOL, THE EAST VILLAGE COMMUNITY SCH, P.S. M094 @ CHILDREN'S WORKSHOP SCH",New York,NY,Manhattan,10009,9/28/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,9/28/2022,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.7278853,-73.97852534,2.0,1079053.0,Public,610 EAST   12 STREET,152463
46,50088609,ZETA CHARTER SCHOOL INWOOD I,New York,NY,Manhattan,10033,2/17/2023,ZETA CHARTER SCHOOLS - NEW YORK CITY,5/5/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),,,,40.85368959,-73.93253652,10.0,1075520.0,Private,652 WEST  187 STREET,49856
47,40542743,P.S. 112 LEFFERTS PARK,Brooklyn,NY,Brooklyn,11228,12/19/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,4/19/2021,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.61977332,-74.00079246,43.0,3157760.0,Public,7115 15 AVENUE,260855
48,40542161,P.S. 158 WARWICK,Brooklyn,NY,Brooklyn,11207,11/17/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,2/26/2021,2530,FSE (Public School Cafeteria),C,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.67257167,-73.88480315,37.0,3089176.0,Public,400 ASHFORD STREET,260855
49,40540736,M.S. 158 MARIE CURIE,Bayside,NY,Queens,11361,1/25/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/25/2023,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.75613119,-73.77286051,19.0,4438325.0,Public,4635 OCEANIA STREET,263898
50,50130814,BROOKLYN SCHOLARS CHARTER SCHOOL,Brooklyn,NY,Brooklyn,11208,1/9/2023,SLA MANAGEMENT INC,1/9/2023,2529,FSE (Private School Cafeteria - For Profit),G,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",40.66883069,-73.86718951,42.0,3327470.0,Private,2635 LINDEN BOULEVARD,116725
51,40540836,I.S. 226 QUEENS,South Ozone Park,NY,Queens,11420,10/25/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/25/2022,2530,FSE (Public School Cafeteria),G,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",40.67576338,-73.8169379,28.0,4253607.0,Public,12110 ROCKAWAY BOULEVARD,263898
52,50095553,CENTRAL UTA,Brooklyn,NY,Brooklyn,11206,1/12/2023,BAIS RUCHEL D'SATMAR INC,3/10/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,40.69502937,-73.94912749,36.0,3048637.0,Private,585 MARCY AVENUE,116725
53,50045105,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,New York,NY,Manhattan,10003,1/25/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/7/2022,2530,FSE (Public School Cafeteria),,,,40.73651113,-73.99272538,2.0,1089902.0,Public,10 EAST   15 STREET,152463
54,41247191,BNOS MALKA ACADEMY,Forest Hills,NY,Queens,11375,1/5/2023,MALKA ACADEMY BNOS,5/19/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.72314278,-73.83821548,29.0,4437364.0,Private,7102 113 STREET,39686
55,40543717,"NORTH BRONX SCHOOL OF EMPOWERMENT, LEADERS OF TOMORROW",Bronx,NY,Bronx,10467,10/3/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/3/2022,2530,FSE (Public School Cafeteria),G,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",40.88086667,-73.86090228,12.0,2058396.0,Public,3710 BARNES AVENUE,168582
56,40738821,MERKAZ HATORAH OF BELLE HARBOR,Rockaway Park,NY,Queens,11694,1/17/2023,HATORAH OF BELL MERCAZ,5/9/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,40.58003528,-73.85034975,32.0,4304071.0,Private,505 BEACH  129 STREET,39686
57,50005680,TALMUD TORAH OHEL YOCHANON,Brooklyn,NY,Brooklyn,11218,3/16/2023,TALMUD TORAH OHEL YOCHANAN,7/12/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.64075896,-73.98499249,39.0,3328346.0,Private,1325 38 STREET,116725
58,50064787,YESHIVA TOLDOS YESUSCHER,Brooklyn,NY,Brooklyn,11219,5/3/2022,YESHIVA TOLDOS YESUSCHER,6/15/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.62400019,-73.99511163,38.0,3132691.0,Private,1531 63 STREET,116725
59,40542781,SHEEPSHEAD BAY HIGH SCHOOL,Brooklyn,NY,Brooklyn,11235,8/3/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,8/3/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.59411733,-73.93769677,48.0,3203631.0,Public,3000 AVENUE X,260855
60,40541003,"BENJAMIN N. CARDOZO HIGH SCHOOL, P.S. Q993",Oakland Gardens,NY,Queens,11364,11/9/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/31/2020,2530,FSE (Public School Cafeteria),C,04M,Live roaches present in facility's food and/or non-food areas.,40.75232524,-73.75598916,23.0,4161735.0,Public,5700 223 STREET,263898
61,50045973,CENTRAL UTA,Brooklyn,NY,Brooklyn,11205,1/12/2023,BAIS RUCHEL DSATMAR INC,1/12/2023,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,40.69626371,-73.96110653,33.0,3054188.0,Private,401 PARK AVENUE,116725
62,40541270,P.S. M079 - HORAN SCHOOL,New York,NY,Manhattan,10035,2/1/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/28/2022,2530,FSE (Public School Cafeteria),,,,40.80241235,-73.94263375,9.0,1053968.0,Public,55 EAST  120 STREET,152463
63,40541328,"P.S. 191 MAYFLOWER, PS 993",Floral Park,NY,Queens,11001,2/16/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/7/2021,2530,FSE (Public School Cafeteria),C,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.73430911,-73.70913615,23.0,4180083.0,Public,8515 258 STREET,263898
64,DM21121645020408745,DREAM CHARTER HIGH SCHOOL,New York,NY,Manhattan,10029,11/29/2022,DREAM CHARTER SCHOOLS,11/29/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),,,,40.79491783,-73.93495109,8.0,1081441.0,Private,439 EAST  115 STREET,49856
65,41284280,XAVIER HIGH SCHOOL,New York,NY,Manhattan,10011,10/17/2022,"COMPASS GROUP USA, INC.",3/16/2021,2529,FSE (Private School Cafeteria - For Profit),C,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.73779574,-73.99380058,3.0,1080629.0,Private,30 WEST   16 STREET,49856
66,DM21191507038059598,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,New York,NY,Manhattan,10029,12/8/2022,HARBOR SCIENCE AND ARTS CHARTER,6/14/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,40.79566394,-73.94452849,8.0,1052192.0,Private,132 EAST  111 STREET,49856
67,40936000,BOBOVER YESHIVAH BNEI ZION,Brooklyn,NY,Brooklyn,11219,1/12/2023,BOBOVER YESHIVA BNEI ZION,4/11/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.63242321,-73.98629137,44.0,3128816.0,Private,1533 48 STREET,116725
68,40541681,P.S. 121 QUEENS,South Ozone Park,NY,Queens,11420,11/17/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,2/11/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.68404262,-73.8158334,28.0,4249769.0,Public,12610 109 AVENUE,263898
69,40543628,P.S. 022 GRANITEVILLE,,NY,Staten Island,10303,1/17/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/17/2023,2530,FSE (Public School Cafeteria),,,,40.62536101,-74.15096989,49.0,5107239.0,Public,1860 FOREST AVENUE,61797
